projectId,projectName,state,district,constituency,location,latitude,longitude,category,sanctionedAmount,estimatedCost,actualCost,startDate,expectedCompletionDate,actualCompletionDate,projectStatus,contractorId,contractorName,numberOfMilestones,completedMilestones,paymentAmount,numberOfPayments,inspectionStatus,beneficiaryCount,description
MPLAD-2026-MH-101,Smart Solar RO Drinking Water Filtration Plant,Maharashtra,Pune,Pune Central,Haveli Block Ward 4,18.5204,73.8567,Drinking Water & Tubewells,2500000,2500000,2480000,2025-01-10,2025-08-30,,IN_PROGRESS,CONT-101,Apex Infrastructure & Tech Ltd,4,3,1850000,3,COMPLIANT,4500,Installation of 1000 LPH solar-powered community reverse osmosis water station.
MPLAD-2026-UP-102,Gramin Multi-Specialty Primary Health Center,Uttar Pradesh,Lucknow,Lucknow Rural,Sarojini Nagar,26.7450,80.8710,Healthcare & Clinics,4800000,4800000,7400000,2024-03-01,2024-11-30,,DELAYED,CONT-102,Vanguard Civil Consortium,5,1,4500000,4,FLAGGED,12000,Severe cost overrun with 90% funds disbursed but only milestone 1 finished.
MPLAD-2026-KA-103,Digital Smart Classroom & Library Wing,Karnataka,Bengaluru Urban,Bengaluru South,Anekal Village School,12.7100,77.6900,Education & School Infra,3200000,3200000,3150000,2025-02-01,2025-10-15,,IN_PROGRESS,CONT-103,Bharat Pragati Builders,4,2,1600000,2,COMPLIANT,1800,Establishment of 4 modern computer labs and STEM science lab for rural students.
MPLAD-2026-TN-104,Inter-Village Bituminous Link Road Construction,Tamil Nadu,Chennai,Chennai North,Madhavaram Sector 3,13.1480,80.2310,Roads & Bridges,6000000,6000000,6100000,2024-01-15,2024-09-30,,DELAYED,CONT-104,Sunrise Municipal Infraworks,4,2,5800000,4,FLAGGED,8500,4.2 km asphalt connecting road experiencing 200+ days delay under high-risk contractor.
MPLAD-2026-GJ-105,Community Multi-Purpose Hall and Cyclone Shelter,Gujarat,Surat,Surat Coastal,Olpad Taluka,21.3320,72.7510,Community Halls & Centers,3800000,3800000,3750000,2024-11-01,2025-06-30,2025-06-25,COMPLETED,CONT-106,Maruti Infrastructure Corp,4,4,3750000,4,COMPLIANT,5000,RCC disaster-resilient community hall with emergency solar power backup.
MPLAD-2026-RJ-106,Deep Aquifer Borewell & Pipeline Grid,Rajasthan,Jaipur,Jaipur Rural,Amer Tehsil,26.9855,75.8513,Drinking Water & Tubewells,2200000,2200000,3300000,2024-05-10,2024-12-15,,DELAYED,CONT-107,Royal Heritage Constructions,4,1,2150000,3,FLAGGED,3200,Excessive cost escalation and discrepancy in pipeline depth verification.
MPLAD-2026-WB-107,Solar Micro-Grid Street Lighting System,West Bengal,Kolkata,Kolkata East,Bhangar Block,22.5310,88.4210,Solar Lighting & Green Energy,1800000,1800000,1780000,2025-03-01,2025-09-30,,IN_PROGRESS,CONT-105,Kalyan Rural Engineering Works,3,2,1200000,2,COMPLIANT,6000,Deployment of 150 standalone solar LED streetlights across 6 panchayat wards.
MPLAD-2026-MP-108,Lift Irrigation Canal Concrete Lining Phase 1,Madhya Pradesh,Bhopal,Bhopal Rural,Huzur Taluka,23.2599,77.4126,Irrigation & Canal Works,5500000,5500000,5450000,2025-01-20,2025-11-30,,IN_PROGRESS,CONT-108,Central Highland Developers,5,3,3300000,3,COMPLIANT,7200,Concrete channel lining to reduce water seepage across 3.5 km irrigation network.
MPLAD-2026-BR-109,Rural Solid & Liquid Waste Management Facility,Bihar,Patna,Patna West,Danapur Block,25.6310,85.0420,Sanitation & Waste Management,2900000,2900000,4350000,2024-04-10,2024-10-31,,DELAYED,CONT-109,Magadh Civil Works Ltd,4,1,2800000,3,FLAGGED,9000,High anomaly risk: 50% cost overrun and 11-month timeline stagnation.
MPLAD-2026-KL-110,Ayush Wellness and Maternal Care Sub-Center,Kerala,Kochi,Ernakulam,Aluva Sub-District,10.1076,76.3516,Healthcare & Clinics,3500000,3500000,3480000,2024-09-01,2025-04-30,2025-04-20,COMPLETED,CONT-110,Coastal Green Infra Services,4,4,3480000,4,COMPLIANT,4200,Specialized maternal health clinic and telemedicine consultation kiosk.
