costDeviationPercentage,delayDays,paymentCount,paymentAmount,milestoneCompletionRate,contractorDelayRate,contractorCostOverrunRate,contractorAnomalyRate,costPerBeneficiary,projectDuration,duplicateSimilarity,label
6.3,13,3,2100000,70,12.0,5.7,5.2,858,353,0,NORMAL
3.8,11,3,1600000,80,15.7,13.4,10.3,1177,340,0,NORMAL
9.5,8,3,1400000,70,11.1,11.3,15.9,844,314,5,NORMAL
1.2,0,2,2800000,75,16.5,10.0,11.5,1263,305,0,NORMAL
4.1,13,3,1500000,85,11.3,4.4,8.7,1163,352,0,NORMAL
6.6,25,2,3000000,65,5.8,11.9,9.0,853,286,0,NORMAL
15.1,0,1,1200000,55,11.9,11.7,15.8,772,326,0,NORMAL
14.5,0,2,2300000,75,6.4,10.8,14.7,1039,360,0,NORMAL
6.7,5,1,2600000,55,12.6,10.9,14.3,1496,329,0,NORMAL
13.5,3,3,2800000,70,11.4,5.0,6.4,777,325,0,NORMAL
74.8,194,4,6200000,30,67.7,63.4,86.3,3586,555,0,SUSPICIOUS
2.5,5,2,1700000,70,16.7,13.0,10.1,1078,371,0,NORMAL
3.9,0,2,3400000,95,17.6,8.3,6.9,1109,356,0,NORMAL
10.4,8,2,1200000,80,17.7,6.0,11.6,1389,369,0,NORMAL
5.2,9,3,1700000,65,15.4,12.4,6.4,855,349,0,NORMAL
17.6,7,1,2100000,80,8.8,5.3,8.3,1313,318,0,NORMAL
59.9,110,3,7000000,10,64.9,45.6,56.9,4320,640,5,SUSPICIOUS
11.6,8,3,2300000,100,5.1,8.9,10.4,942,320,5,NORMAL
74.4,222,4,8000000,15,71.5,49.3,65.1,4989,631,0,SUSPICIOUS
52.8,246,3,5800000,30,55.2,53.3,65.8,3726,662,0,SUSPICIOUS
2.8,3,1,3600000,95,17.2,3.7,10.3,1594,338,0,NORMAL
5.2,0,2,1900000,70,17.5,8.4,13.6,918,321,0,NORMAL
7.7,6,2,2800000,90,16.5,4.4,12.9,1533,335,5,NORMAL
3.7,17,1,2200000,75,13.1,7.4,16.9,1415,336,0,NORMAL
5.0,27,2,1300000,70,13.3,7.4,5.1,975,330,0,NORMAL
8.4,0,2,2700000,55,11.6,6.8,10.9,1162,320,0,NORMAL
1.2,0,2,1500000,75,17.9,4.7,6.3,1333,304,12,NORMAL
60.5,138,4,5700000,10,47.2,52.2,72.0,3718,492,5,SUSPICIOUS
49.0,141,5,5900000,5,62.8,47.1,83.2,3350,664,5,SUSPICIOUS
13.4,2,2,3500000,55,12.1,12.3,11.2,1277,303,0,NORMAL
47.2,126,4,4100000,35,55.0,48.6,57.1,4094,464,87,SUSPICIOUS
41.4,136,5,7500000,10,49.5,48.5,75.7,5117,508,5,SUSPICIOUS
1.2,0,2,1400000,85,15.0,6.4,12.0,1425,280,0,NORMAL
4.0,0,3,2600000,100,5.6,7.7,3.5,1255,320,0,NORMAL
7.4,29,3,1400000,65,6.2,11.1,9.9,1577,308,0,NORMAL
8.7,0,2,1200000,90,7.2,9.5,5.3,931,365,0,NORMAL
5.0,5,2,1700000,90,12.8,13.0,15.2,1399,298,0,NORMAL
4.7,0,2,1400000,80,10.1,14.0,4.9,941,319,0,NORMAL
7.7,24,3,2000000,80,13.9,7.1,10.0,901,346,0,NORMAL
3.3,0,3,3000000,75,14.6,6.6,6.5,787,366,0,NORMAL
50.8,179,4,7900000,20,81.8,59.0,81.6,4369,744,0,SUSPICIOUS
8.7,31,2,3100000,80,9.4,13.6,3.2,1406,288,0,NORMAL
1.3,3,2,3800000,80,17.7,7.2,11.3,928,331,8,NORMAL
7.7,4,1,2100000,60,15.1,10.2,16.6,1458,327,0,NORMAL
5.4,21,1,1200000,65,12.5,7.3,14.3,1070,357,0,NORMAL
5.4,2,2,2100000,85,13.7,14.0,4.7,1384,337,0,NORMAL
5.6,16,2,3000000,65,17.3,12.5,11.2,1646,381,0,NORMAL
72.3,81,4,7800000,30,52.1,69.8,76.1,6320,597,5,SUSPICIOUS
5.3,9,3,1700000,60,8.0,10.4,9.4,1233,410,5,NORMAL
18.5,19,2,2100000,85,9.6,10.8,17.0,1117,379,0,NORMAL
3.4,0,1,1500000,75,17.7,7.2,7.2,1235,350,0,NORMAL
42.0,60,4,6900000,30,59.2,31.8,51.7,2948,550,85,SUSPICIOUS
2.2,0,2,2400000,55,17.9,8.7,6.9,1267,336,8,NORMAL
5.8,15,2,2900000,75,6.3,6.4,5.5,1397,344,0,NORMAL
8.0,20,2,3900000,65,9.6,6.7,11.6,957,337,0,NORMAL
82.2,98,6,8200000,25,47.0,59.8,56.4,4693,602,15,SUSPICIOUS
5.4,1,2,2500000,55,11.8,14.2,4.8,1442,353,0,NORMAL
11.6,0,2,3600000,55,14.5,9.7,16.3,814,334,0,NORMAL
4.7,4,2,2700000,100,16.4,4.4,15.8,1088,322,0,NORMAL
9.3,0,3,1500000,90,14.3,6.1,9.2,901,326,0,NORMAL
10.5,3,2,1900000,60,12.6,5.0,9.0,1026,280,0,NORMAL
55.8,118,4,9100000,25,54.8,61.1,62.5,4245,540,15,SUSPICIOUS
1.2,0,4,2400000,70,7.7,9.2,3.1,1051,325,0,NORMAL
5.4,0,2,3800000,70,15.1,12.1,10.3,1030,337,0,NORMAL
45.8,207,4,7200000,20,78.2,65.7,76.0,4689,620,14,SUSPICIOUS
8.3,3,2,2100000,70,14.7,6.1,8.7,1216,315,0,NORMAL
1.2,16,4,1500000,65,12.9,10.9,11.4,1053,302,0,NORMAL
10.7,0,3,2900000,100,17.5,9.4,3.2,1007,284,0,NORMAL
9.0,0,2,1400000,80,7.5,12.4,6.8,1448,329,0,NORMAL
2.9,0,2,2000000,75,16.2,6.4,11.3,760,329,0,NORMAL
1.8,15,1,2000000,85,5.4,11.5,15.2,1447,261,5,NORMAL
12.2,16,2,2000000,75,15.4,6.1,6.2,949,364,8,NORMAL
18.5,7,1,3100000,70,14.4,9.1,4.8,951,359,0,NORMAL
8.8,12,1,1900000,85,17.4,10.2,6.1,1436,333,0,NORMAL
34.5,66,3,4900000,30,37.3,48.2,68.4,3908,532,83,SUSPICIOUS
60.5,174,5,9700000,30,36.8,78.0,59.3,5395,583,15,SUSPICIOUS
8.7,3,2,2900000,75,8.3,9.7,10.5,1353,351,0,NORMAL
57.6,159,4,8400000,30,50.1,70.2,50.7,4078,621,5,SUSPICIOUS
35.8,78,4,6100000,35,55.0,37.9,69.5,3334,575,89,SUSPICIOUS
9.0,0,2,2300000,100,14.7,14.1,4.0,1237,341,0,NORMAL
13.9,11,2,2400000,100,7.4,4.2,11.5,1303,346,0,NORMAL
12.3,21,2,1400000,70,6.5,10.6,6.5,809,338,0,NORMAL
8.3,5,2,1700000,100,8.0,11.7,11.8,1424,361,0,NORMAL
55.9,139,6,8700000,25,32.0,67.5,62.7,5971,526,15,SUSPICIOUS
7.5,11,2,2400000,70,14.9,8.8,16.0,1600,302,0,NORMAL
13.4,36,2,2700000,55,8.5,9.4,5.3,993,339,0,NORMAL
8.6,9,2,2100000,65,14.6,6.9,14.6,1571,284,0,NORMAL
8.0,7,3,2100000,55,14.2,4.8,7.3,936,305,0,NORMAL
4.2,45,2,2800000,80,9.4,7.0,12.0,1394,320,0,NORMAL
1.3,0,4,3500000,80,17.9,13.7,10.6,1382,320,0,NORMAL
2.8,34,1,3300000,100,8.4,10.8,14.4,1321,354,0,NORMAL
12.0,0,3,1400000,55,13.3,4.4,5.3,1171,344,0,NORMAL
53.0,193,5,5300000,12,43.6,58.2,71.6,3482,539,5,SUSPICIOUS
44.9,127,5,7000000,10,50.8,56.3,71.6,5480,518,10,SUSPICIOUS
6.6,9,2,2600000,85,5.6,6.6,16.3,1107,405,0,NORMAL
6.5,0,3,2900000,80,8.2,11.6,7.4,1400,339,5,NORMAL
8.4,2,3,2500000,90,6.9,6.0,13.1,879,340,0,NORMAL
7.2,15,3,1400000,100,17.1,9.3,6.6,918,284,5,NORMAL
6.5,1,2,2900000,70,12.6,11.4,15.8,1185,317,0,NORMAL
4.5,13,3,1400000,85,12.5,13.3,12.8,941,332,0,NORMAL
18.5,3,2,1300000,100,11.4,14.1,14.7,802,323,8,NORMAL
5.3,2,3,1500000,65,15.0,5.1,14.7,1588,322,5,NORMAL
7.4,15,3,2500000,55,12.0,6.6,9.0,1330,368,0,NORMAL
4.5,28,2,1600000,85,14.9,10.9,7.2,1501,382,0,NORMAL
50.4,208,4,7500000,15,77.4,43.1,72.7,3315,601,8,SUSPICIOUS
72.9,104,4,8200000,40,30.3,50.6,50.3,6345,493,15,SUSPICIOUS
1.2,10,1,3800000,60,17.2,11.3,7.1,1360,324,0,NORMAL
7.8,0,2,3200000,90,9.2,5.9,16.0,1075,318,0,NORMAL
37.5,107,4,3900000,30,53.9,29.0,73.8,3275,595,94,SUSPICIOUS
42.5,72,2,4800000,35,51.4,43.1,73.0,3438,589,74,SUSPICIOUS
5.6,0,1,2800000,60,7.9,5.8,14.1,765,358,0,NORMAL
10.0,0,2,2700000,55,16.2,13.6,15.0,1599,333,0,NORMAL
36.0,103,2,4000000,20,56.2,49.9,60.2,3242,456,88,SUSPICIOUS
72.8,153,5,9300000,30,42.1,56.1,68.1,6488,560,5,SUSPICIOUS
1.2,11,2,1300000,85,8.9,13.7,4.7,1281,330,0,NORMAL
3.1,1,3,3800000,60,6.5,7.7,9.4,1343,345,0,NORMAL
11.6,3,2,1700000,75,5.1,8.1,9.7,995,351,0,NORMAL
9.7,0,2,3000000,80,7.5,13.2,16.5,1510,328,0,NORMAL
11.0,20,2,3300000,95,11.9,13.8,3.6,868,376,0,NORMAL
6.3,10,2,1900000,90,6.2,8.0,5.3,812,318,0,NORMAL
88.3,137,5,6900000,30,53.9,64.3,77.4,6394,528,0,SUSPICIOUS
18.5,19,2,3300000,95,15.2,9.9,5.1,1442,352,0,NORMAL
11.1,0,2,1500000,55,13.4,6.6,14.4,1380,276,5,NORMAL
14.8,28,2,3600000,75,6.3,5.2,6.4,1265,363,0,NORMAL
4.1,4,2,1800000,75,10.6,9.1,5.0,1228,325,12,NORMAL
68.8,268,4,6800000,20,74.6,65.5,71.4,3591,591,0,SUSPICIOUS
13.6,22,3,2700000,100,15.4,9.3,9.7,1002,300,0,NORMAL
9.7,21,2,2200000,100,14.4,4.7,5.0,776,388,0,NORMAL
12.0,15,3,2300000,75,5.6,10.6,6.2,892,340,0,NORMAL
1.6,0,2,2100000,95,7.4,4.1,4.1,1090,365,0,NORMAL
5.8,1,2,3600000,70,12.1,5.2,6.5,1020,366,5,NORMAL
32.8,112,3,8300000,0,58.9,59.7,66.9,5016,502,10,SUSPICIOUS
5.8,14,2,2700000,65,6.6,11.3,13.7,967,374,0,NORMAL
16.0,3,3,2700000,100,5.1,8.3,4.3,1256,347,0,NORMAL
10.6,2,3,2800000,75,9.9,11.7,5.9,1062,365,5,NORMAL
9.7,0,3,1300000,85,6.6,4.0,6.9,1159,371,0,NORMAL
