projectName,state,district,category,sanctionedAmount,estimatedCost,projectId,actualCost,startDate,expectedCompletionDate,actualCompletionDate,projectStatus,contractorId,contractorName,numberOfMilestones,completedMilestones,paymentAmount,numberOfPayments,inspectionStatus,beneficiaryCount,constituency,location,latitude,longitude,description
Installation of High-Mast Solar LED Lighting System at Haveli Block Ward 12,Maharashtra,Pune,Solar Lighting & Green Energy,2150000,2150000,MPLAD-2026-REAL-0001,860000,2025-02-02,2026-09-02,,IN_PROGRESS,CONT-101,Apex Infrastructure & Tech Ltd,5,2,860000,2,PENDING,1820,Pune Parliamentary Constituency,Haveli Block Ward 12,18.50841,73.857178,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Drilling of Deep Borewell with Overhead Storage Reservoir at Sitabuldi North Sector 4,Maharashtra,Nagpur,Drinking Water & Tubewells,2300000,2300000,MPLAD-2026-REAL-0002,1150000,2025-03-03,2026-10-03,,IN_PROGRESS,CONT-102,Vanguard Civil Consortium,6,3,1150000,3,PENDING,2140,Nagpur Parliamentary Constituency,Sitabuldi North Sector 4,21.144845,79.076238,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Construction of High-Level Reinforced Concrete Culvert & Approach Road at Panchavati Rural Zone,Maharashtra,Nashik,Roads & Bridges,2450000,2450000,MPLAD-2026-REAL-0003,2450000,2025-04-04,2026-11-04,2026-02-07,COMPLETED,CONT-103,Bharat Pragati Builders,4,4,2450000,4,COMPLIANT,2460,Nashik Parliamentary Constituency,Panchavati Rural Zone,20.009414,73.788369,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Establishment of Telemedicine Enabled Primary Health Clinic at Dombivli East Ward 8,Maharashtra,Thane,Healthcare & Clinics,2600000,2600000,MPLAD-2026-REAL-0004,1040000,2025-05-05,2026-12-05,,IN_PROGRESS,CONT-104,Sunrise Municipal Infraworks,5,2,1040000,2,PENDING,2780,Kalyan Parliamentary Constituency,Dombivli East Ward 8,19.220204,72.989948,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Construction of Multipurpose Auditorium and Sports Amenity Center at Jayanagar Block 4,Karnataka,Bengaluru Urban,Education & School Infra,2750000,2750000,MPLAD-2026-REAL-0005,3932500,2025-06-06,2026-01-06,,DELAYED,CONT-105,Kalyan Rural Engineering Works,6,2,3342625,5,FLAGGED,3100,Bangalore South,Jayanagar Block 4,12.913237,77.596174,Critical audit warning: Severe cost overrun of 43% with only 2/6 milestones completed.
Construction of Multipurpose Community Welfare Center and Skill Hub at Chamundipuram Sector 2,Karnataka,Mysuru,Community Halls & Centers,2900000,2900000,MPLAD-2026-REAL-0006,2900000,2025-07-07,2026-02-07,2026-02-10,COMPLETED,CONT-106,Maruti Infrastructure Corp,4,4,2900000,4,COMPLIANT,3420,Mysore Parliamentary Constituency,Chamundipuram Sector 2,12.292959,76.627741,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Establishment of Decentralized Solid Waste Segregation & Composting Unit at Hubballi Vidyanagar Ward 15,Karnataka,Dharwad,Sanitation & Waste Management,3050000,3050000,MPLAD-2026-REAL-0007,3507500,2025-08-08,2026-03-08,,DELAYED,CONT-107,Royal Heritage Constructions,5,1,2745000,4,FLAGGED,3740,Dharwad Parliamentary Constituency,Hubballi Vidyanagar Ward 15,15.376237,75.120697,High financial anomaly: 90% fund disbursed against only 1 milestone physically completed. Field verification flagged.
Installation of Smart Solar Streetlights with Auto-Sensors along Sabarmati Ward 6,Gujarat,Ahmedabad,Solar Lighting & Green Energy,3200000,3200000,MPLAD-2026-REAL-0008,1600000,2025-09-09,2026-04-09,,IN_PROGRESS,CONT-108,Central Highland Developers,6,3,1600000,3,PENDING,4060,Ahmedabad West,Sabarmati Ward 6,23.079059,72.596396,Ongoing MPLADS infrastructure initiative with physical development progressing on schedule.
Installation of High-Capacity Water ATM and Purification Unit at Alkapuri West Zone,Gujarat,Vadodara,Drinking Water & Tubewells,3350000,3350000,MPLAD-2026-REAL-0009,3350000,2025-10-10,2026-05-10,2026-02-13,COMPLETED,CONT-109,Magadh Civil Works Ltd,4,4,3350000,4,COMPLIANT,4380,Vadodara Parliamentary Constituency,Alkapuri West Zone,22.295963,73.18541,Successfully commissioned MPLADS development scheme serving local citizens and public amenities.
Construction of Covered Stormwater Drain and Interlocking CC Road at Varachha Central Block,Gujarat,Surat,Roads & Bridges,3500000,3500000,MPLAD-2026-REAL-0010,5285000,2025-11-11,2026-06-11,,DELAYED,CONT-110,Coastal Green Infra Services,5,2,4492250,5,FLAGGED,4700,Surat Parliamentary Constituency,Varachha Central Block,21.165546,72.820039,Critical audit warning: Severe cost overrun of 51% with only 2/5 milestones completed.
